pub,dini
journal_article,article
book,book
book_chapter,bookPart
book_editor,book
review,review
conference,conferenceObject
dissertation,doctoralThesis
bi_dissertation,doctoralThesis
bi_postdoc_thesis,doctoralThesis
bi_bachelor_thesis,bachelorThesis
bi_master_thesis,masterThesis
working_paper,workingPaper
preprint,preprint
report,report
patent,patent
newspaper_article,contributionToPeriodical
research_data,ResearchData
